Address,Price,Sold_Year
CRANBOURNE NORTH VIC 3977,"$753,000 ",Sold by private treaty 23 Nov 2022
CRANBOURNE NORTH VIC 3977,"$622,000 ",Sold by private treaty 23 Nov 2022
CROYDON VIC 3136,"$959,000 ",Sold by private treaty 23 Nov 2022
CROYDON VIC 3136,"$1,850,000 ",Sold by private treaty 23 Nov 2022
DANDENONG VIC 3175,"$550,000 ",Sold prior to auction 23 Nov 2022
DANDENONG VIC 3175,"$275,000 ",Sold by private treaty 23 Nov 2022
DEER PARK VIC 3023,"$450,000 ",Sold by private treaty 23 Nov 2022
DELACOMBE VIC 3356,"$815,000 ",Sold by private treaty 23 Nov 2022
DOCKLANDS VIC 3008,"$380,000 ",Sold by private treaty 23 Nov 2022
DONCASTER EAST VIC 3109,"$1,650,000 ",Sold by private treaty 23 Nov 2022
DONVALE VIC 3111,"$1,740,000 ",Sold by private treaty 23 Nov 2022
DOREEN VIC 3754,"$710,000 ",Sold by private treaty 23 Nov 2022
DROUIN VIC 3818,"$620,000 ",Sold by private treaty 23 Nov 2022
ECHUCA VIC 3564,"$600,000 ",Sold by private treaty 23 Nov 2022
ENDEAVOUR HILLS VIC 3802,"$800,000 ",Sold by private treaty 23 Nov 2022
FAIRFIELD VIC 3078,"$410,000 ",Sold by private treaty 23 Nov 2022
FOREST HILL VIC 3131,"$1,150,000 ",Sold by private treaty 23 Nov 2022
GEELONG WEST VIC 3218,"$1,025,000 ",Sold by private treaty 23 Nov 2022
GLEN IRIS VIC 3146,"$1,505,000 ",Sold by private treaty 23 Nov 2022
GLENROY VIC 3046,"$440,000 ",Sold by private treaty 23 Nov 2022
GOROKE VIC 3412,"$250,000 ",Sold by private treaty 23 Nov 2022
HAMLYN HEIGHTS VIC 3215,"$680,000 ",Sold at auction 23 Nov 2022
HAMPTON PARK VIC 3976,"$632,500 ",Sold by private treaty 23 Nov 2022
HASTINGS VIC 3915,"$650,000 ",Sold by private treaty 23 Nov 2022
HAWTHORN EAST VIC 3123,"$400,000 ",Sold by private treaty 23 Nov 2022
HUNTLY VIC 3551,"$382,500 ",Sold by private treaty 23 Nov 2022
INVERLOCH VIC 3996,"$735,000 ",Sold by private treaty 23 Nov 2022
JUNORTOUN VIC 3551,"$916,000 ",Sold by private treaty 23 Nov 2022
KEILOR VIC 3036,"$773,000 ",Sold at auction 23 Nov 2022
KENSINGTON VIC 3031,"$299,950 ",Sold by private treaty 23 Nov 2022
KEYSBOROUGH VIC 3173,"$620,000 ",Sold by private treaty 23 Nov 2022
KIALLA VIC 3631,"$750,000 ",Sold by private treaty 23 Nov 2022
KILSYTH VIC 3137,"$745,000 ",Sold by private treaty 23 Nov 2022
KOO WEE RUP VIC 3981,"$630,000 ",Sold by private treaty 23 Nov 2022
KORUMBURRA VIC 3950,"$590,000 ",Sold by private treaty 23 Nov 2022
LAKES ENTRANCE VIC 3909,"$230,000 ",Sold by private treaty 23 Nov 2022
LANGWARRIN VIC 3910,"$1,250,000 ",Sold by private treaty 23 Nov 2022
LANGWARRIN VIC 3910,"$1,440,000 ",Sold by private treaty 23 Nov 2022
LEONGATHA VIC 3953,"$545,000 ",Sold by private treaty 23 Nov 2022
LONG GULLY VIC 3550,"$350,000 ",Sold by private treaty 23 Nov 2022
LYNBROOK VIC 3975,"$710,000 ",Sold by private treaty 23 Nov 2022
MANOR LAKES VIC 3024,"$663,000 ",Sold by private treaty 23 Nov 2022
MCKENZIE HILL VIC 3451,"$950,000 ",Sold by private treaty 23 Nov 2022
MELBOURNE VIC 3000,"$357,000 ",Sold by private treaty 23 Nov 2022
MELBOURNE VIC 3000,"$630,000 ",Sold by private treaty 23 Nov 2022
MENTONE VIC 3194,"$1,115,000 ",Sold prior to auction 23 Nov 2022
MERNDA VIC 3754,"$850,000 ",Sold by private treaty 23 Nov 2022
MICKLEHAM VIC 3064,"$290,000 ",Sold by private treaty 23 Nov 2022
MILDURA VIC 3500,"$420,000 ",Sold by private treaty 23 Nov 2022
